Nome,Posicao,Categoria,Sinonimos
Abel Braga,VOL,JOGADOR BASE,Abelão
Adryelson,ZAG,JOGADOR BASE,Adryelson Lima
Aírton,VOL,JOGADOR BASE,Aírton Ribeiro Santos
Alê,VOL,JOGADOR BASE,Alê
Alemão,VOL,JOGADOR BASE,Ricardo Rogério de Brito
Alessandro,LAT,JOGADOR BASE,Alessandro Mori Nunes
Alex,ZAG,JOGADOR BASE,Alex
Alex Alves,ATA,JOGADOR BASE,Alex Alves
Alex Santana,VOL,JOGADOR BASE,Alex Santana
Alexander Barboza,ZAG,JOGADOR BASE,Barboza
Allan,VOL,JOGADOR BASE,Allan Marques Loureiro
Almir,MEI,JOGADOR BASE,Almir
Amarildo,ATA,LENDA,O Possesso
André Bahia,ZAG,JOGADOR BASE,André Bahia
André Lima,ATA,JOGADOR BASE,Guerreiro André Lima
André Silva,LAT,JOGADOR BASE,André Silva Rosa
Andrey,GOL,JOGADOR BASE,Andrey Nazário dos Santos
Andrezinho,MEI,JOGADOR BASE,Andrezinho
Antônio Carlos,ZAG,JOGADOR BASE,Antônio Carlos dos Santos Aguiar
Arévalo Rios,VOL,JOGADOR BASE,El Cacha
Arnaldo,LAT,JOGADOR BASE,Arnaldo Manoel de Sena
Asprilla,ZAG,JOGADOR BASE,Cristiano Rocha Canedo;Asprilla
Barreto,VOL,JOGADOR BASE,Gustavo Bonatto Barreto
Bastos,ZAG,JOGADOR BASE,Quissanga Bastos
Bebeto,ATA,FOLCLORICO/HISTORICO,José Roberto Gama
Bentinho,ATA,JOGADOR BASE,Bentinho
Bento,GOL,JOGADOR BASE,Bento
Berg,ATA,JOGADOR BASE,Berg
Beto,MEI,FOLCLORICO/HISTORICO,Beto Cachaça
Bill,ATA,JOGADOR BASE,Bill
Bolatti,VOL,JOGADOR BASE,Mario Bolatti
Bolívar,ZAG,JOGADOR BASE,General Bolívar
Brenner,ATA,JOGADOR BASE,Brenner
Breno,ZAG,JOGADOR BASE,Breno
Bruno Silva,VOL,JOGADOR BASE,Bruno Silva
Bruno Tiago,MEI,JOGADOR BASE,Bruno Tiago
Caio,ATA,JOGADOR BASE,Caio Canedo
Caio Alexandre,MEI,JOGADOR BASE,Caio Alexandre
