Nome,Posicao,Categoria,Sinonimos
Taffarel,GOL,Lenda,Cláudio André Mergen Taffarel
Gilmar dos Santos Neves,GOL,Lenda,"Gilmar, Bicampeão 58/62"
Marcos,GOL,Lenda,"São Marcos, Goleiro do Penta"
Dida,GOL,Lenda,"Nélson de Jesus Silva, Rei dos Pênaltis"
Barbosa,GOL,Folclórico/Histórico,"Moacir Barbosa Nascimento, O injustiçado de 50"
Félix,GOL,Folclórico/Histórico,"Félix Miéli Venerando, O Papel do Tri"
Castilho,GOL,Folclórico/Histórico,"Carlos José Castilho, O homem que amputou o dedo"
Zetti,GOL,Folclórico/Histórico,Armelino Donizetti Quagliato
Doni,GOL,Folclórico/Histórico,Donieber Alexander Marangon
Manga,GOL,Folclórico/Histórico,Haílton Corrêa de Arruda
Emerson Leão,GOL,Folclórico/Histórico,"Leão, O polêmico"
Cássio,GOL,Folclórico/Histórico,Cássio Ramos
Alisson Becker,GOL,Jogador Base,Alisson Ramses Becker
Ederson,GOL,Jogador Base,Ederson Santana de Moraes
Júlio César,GOL,Jogador Base,Júlio César Soares de Espíndola
Rogério Ceni,GOL,Jogador Base,
Waldir Peres,GOL,Jogador Base,
Carlos,GOL,Jogador Base,Carlos Roberto Gallo
Paulo Victor,GOL,Jogador Base,Paulo Victor Barbosa de Carvalho
Weverton,GOL,Jogador Base,Weverton Pereira da Silva
Jefferson,GOL,Jogador Base,Jefferson de Oliveira Galvão
Victor,GOL,Jogador Base,Victor Leandro Bagy
Gomes,GOL,Jogador Base,Heurelho da Silva Gomes
Joel Reis,GOL,Jogador Base,Joel de Oliveira Monteiro
Veloso,GOL,Jogador Base,Wagner Fernando Velloso
Ado,GOL,Jogador Base,Eduardo Roberto Stinghen
Poli,GOL,Jogador Base,Polycarpo Ribeiro de Oliveira
Pedrosa,GOL,Jogador Base,Roberto Gomes Pedrosa
Germano,GOL,Jogador Base,Germano de Figueredo
Moacyr,GOL,Jogador Base,Moacyr Claudino Pinto
Altair,GOL,Jogador Base,Altair Gomes de Figueiredo
Valdir Peres,GOL,Jogador Base,Waldir Peres (Edição 74/78)
Paulo Sérgio,GOL,Jogador Base,Paulo Sérgio de Oliveira Lima
Bellini,ZAG,Lenda,"Hideraldo Luiz Bellini, O Capitão de 58"
