Nome,Posicao,Categoria,Sinonimos
Marcos,GOL,Lenda,"São Marcos, Marcos Roberto Silveira Reis"
Djalma Santos,LAT,Lenda,"Dejalma dos Santos, Bicampeão Mundial"
Luís Pereira,ZAG,Lenda,"Luiz Edmundo Pereira, Chevrolet"
Gustavo Gómez,ZAG,Lenda,"Gustavo Raúl Gómez Portillo, Xerife"
Roberto Carlos,LAT,Lenda,Roberto Carlos da Silva Rocha
César Sampaio,VOL,Lenda,Carlos César Sampaio Campos
Ademir da Guia,MEI,Lenda,"Divino, Ademir da Guia"
Alex,MEI,Lenda,"Alexsandro de Souza, Alex Cabeção"
Julinho Botelho,ATA,Lenda,Júlio Botelho
Edmundo,ATA,Lenda,Animal; Edmundo Alves de Souza Neto
Evair,ATA,Lenda,Matador; Evair Aparecido Paulino
Emerson Leão,GOL,Lenda,Leão
Valdir,GOL,Lenda,Valdir Joaquim de Moraes
Waldemar Fiúme,VOL,Lenda,Pai da Bola
Dudu,VOL,Lenda,Olegário Tolói de Oliveira
Dudu,ATA,Lenda,"Eduardo Pereira Rodrigues, Baixola"
Heitor,ATA,Lenda,"Ettore Marcelino Domingues, Maior Artilheiro"
Edivair,MEI,Lenda,Rivaldo Vítor Borba Ferreira
Zinho,MEI,Lenda,Crizam César de Oliveira Filho
Velloso,GOL,Jogador base,Wagner Fernando Velloso
Sérgio,GOL,Jogador base,Sérgio Luís de Araújo
Weverton,GOL,Jogador base,Weverton Pereira da Silva
Fernando Prass,GOL,Jogador base,Prass
Gato Fernández,GOL,Folclorico/Historico,Roberto Eládio Fernández Roa; Roberto Fernandez
Galli,GOL,Jogador base,Francisco Galli
Oberdan Cattani,GOL,Jogador base,Muralha
Jurandyr,GOL,Jogador base,Jurandyr Correia dos Santos
Primo,GOL,Jogador base,Primo Giusti
Zetti,GOL,Jogador base,Armelino Donizetti Quagliato
Nascimento,GOL,Jogador base,Rubens do Nascimento
Gilmar,GOL,Jogador base,Gilmar Luís Rinaldi
Gatãozinho,GOL,Folclorico/Historico,José de Oliveira
Diego Cavalieri,GOL,Jogador base,Cavalieri
Bruno,GOL,Jogador base,Bruno Cortez Cardoso
Deola,GOL,Jogador base,Elinton Sanchotene Deola
Jailson,GOL,Jogador base,"Jailsão da Massa, Jailson Marcelino dos Santos"
Picasso,GOL,Folclorico/Historico,Ronei Paulo Travi
Chicão,GOL,Jogador base,Francisco Jesuíno Avanzi
Martorelli,GOL,Jogador base,Ivan Martorelli
Gerson Caçapa,GOL,Jogador base,Gerson Cândido de Paula; Caçapa
Émerson,GOL,Jogador base,Émerson Ferretti
Marcos Tobi,GOL,Jogador base,Tobi
Fábio Costa,GOL,Jogador base,
Raphael Alemão,GOL,Jogador base,Raphael de Araújo; Alemão
Vinícius Silvestre,GOL,Jogador base,
Fuzil,GOL,Jogador base,José Fuzil
Geraldo,GOL,Jogador base,Geraldo da Silva
Neneca,GOL,Jogador base,Hélio Miguel
Pires,GOL,Folclorico/Historico,Waldir de Moraes Pires
Marcos Rocha,LAT,JOGADOR BASE,Marcos Luis Rocha Aquino
Mayke,LAT,JOGADOR BASE,Mayke Rocha Oliveira
Arce,LAT,JOGADOR BASE,"Francisco Javier Arce Rolón, Chiqui Arce"
Eurico,LAT,JOGADOR BASE,Eurico Pedro de Faria
Rosemiro,LAT,JOGADOR BASE,"Rosemiro Correia dos Santos, Namorado da Bola"
Júnior,LAT,JOGADOR BASE,Jenílson Ângelo de Souza
Zeca,LAT,JOGADOR BASE,José Carlos Augusto
Piquerez,LAT,JOGADOR BASE,Joaquín Piquerez Moreira
Jorge Mendonça,LAT,Folclórico/Histórico,Jorge Pinto Mendonça
Fabinho Capixaba,LAT,Folclórico/Histórico,Fábio Camilo de Araújo
Vágner Bacharel,LAT,Folclórico/Histórico,Vágner Christian de Souza Moraes
Perivaldo,LAT,Folclórico/Histórico,"Perivaldo Lúcio Dantas, Peri da Estrada"
Edmundo Puruca,LAT,Folclórico/Histórico,Edmundo Silveira
Baiano,LAT,Folclórico/Histórico,Dermival Almeida Lima
Weldane,LAT,Folclórico/Histórico,Weldane de Oliveira Rodrigues
Armero,LAT,Folclórico/Histórico,"Pablo Estifer Armero, El Miñía; Armeration"
Foguete,LAT,Folclórico/Histórico,Wellington Cabral Costa
Luan,LAT,Folclórico/Histórico,Luan Madson Gedeão de Paiva
Gerley,LAT,Folclórico/Histórico,Gerley Ferreira de Souza
Mazinho,LAT,JOGADOR BASE,"Waldemar Aureliano de Oliveira Filho, Messias"
Ferry,LAT,JOGADOR BASE,Ferry de Souza
Geraldo Scotto,LAT,JOGADOR BASE,Geraldo Scotto
Ferrari,LAT,JOGADOR BASE,Salvador Arnaldo Cassano Ferrari
Pedrinho Vicençote,LAT,JOGADOR BASE,Pedro Luís Vicençote
Cláudio,LAT,JOGADOR BASE,Cláudio Olinto de Carvalho
Neneca,LAT,JOGADOR BASE,Hélio Miguel
Cafu,LAT,JOGADOR BASE,Marcos Evangelista de Morais
Gabriel,LAT,JOGADOR BASE,Gabriel Girotto Franco
Egídio,LAT,JOGADOR BASE,Egídio de Araújo Pereira Júnior
Victor Luis,LAT,JOGADOR BASE,Victor Luis Chuab Zamblauskas
João Pedro,LAT,JOGADOR BASE,João Pedro Maturano dos Santos
Lucas,LAT,JOGADOR BASE,Lucas Rios Marques
Cicinho,LAT,JOGADOR BASE,Alex Sandro Mendonça dos Santos
Wendel,LAT,JOGADOR BASE,Wendel Santana Pereira Santos
Alessandro,LAT,JOGADOR BASE,Alessandro Mori Nunes
Rubens Júnior,LAT,JOGADOR BASE,Rubens Júnior
Lúcio,LAT,JOGADOR BASE,Lúcio Carlos Cajueiro Souza
Leandro,LAT,JOGADOR BASE,Leandro de Oliveira da Luz
Fabiano,LAT,JOGADOR BASE,"Fabiano Leismann, Fabiano do Gol do Título"
Juninho,LAT,JOGADOR BASE,Evanildo Borges Barbosa Júnior
Vanderlan,LAT,JOGADOR BASE,Vanderlan Barbosa da Silva
Garcia,LAT,JOGADOR BASE,Gustavo Garcia dos Santos
Caio Paulista,LAT,JOGADOR BASE,Caio Fernando de Oliveira
Giay,LAT,JOGADOR BASE,Agustín Giay
Tyrone,LAT,JOGADOR BASE,Tyrone Loureiro
Edison,LAT,JOGADOR BASE,Edison Rodrigues de Oliveira
Valderis,LAT,JOGADOR BASE,Valderis Barbosa
Nuno,LAT,JOGADOR BASE,Nuno Rocha
Donizete,LAT,JOGADOR BASE,Donizete de Oliveira
Róger,LAT,JOGADOR BASE,Róger Rodrigues da Silva
Roque Júnior,ZAG,JOGADOR BASE,José Vítor Roque Júnior
Antônio Carlos,ZAG,JOGADOR BASE,"Antônio Carlos Zago, Zago"
Cléber,ZAG,JOGADOR BASE,"Cléber Américo da Conceição, Cléber Gante"
Edmilson,ZAG,JOGADOR BASE,Edmílson José Gomes de Moraes
Toninho Cecílio,ZAG,JOGADOR BASE,Antônio Jorge Cecílio Sobrinho
Vitor Hugo,ZAG,JOGADOR BASE,Vitor Hugo Franchescoli de Souza
Luan,ZAG,JOGADOR BASE,Luan Garcia Teixeira
Murilo,ZAG,JOGADOR BASE,Murilo Cerqueira Paim
Minas,ZAG,Folclórico/Histórico,"Alcindo Teodoro, Zagueiro que não ria"
Nen,ZAG,Folclórico/Histórico,Realdo Filipe - O Xerife do Interior
Júnior Baiano,ZAG,Folclórico/Histórico,Raimundo Ferreira Ramos Júnior
Gladstone,ZAG,Folclórico/Histórico,Gladstone Pereira della Valentina
Galeano,ZAG,JOGADOR BASE,Marcos Aurélio Galeano
Alfredo Mostarda,ZAG,JOGADOR BASE,Alfredo Mostarda Filho
Vágner Bacharel,ZAG,JOGADOR BASE,Vágner Christian de Souza Moraes
Jéci,ZAG,Folclórico/Histórico,Jéci Rodrigues Júnior
Marcio Careca,ZAG,Folclórico/Histórico,Marcio Glad
Daniel Lovinho,ZAG,Folclórico/Histórico,
Tobi,ZAG,Folclórico/Histórico,Givaldo Francisco dos Santos
Valdomiro,ZAG,Folclórico/Histórico,Valdomiro Vaz Franco
Jackson,ZAG,Folclórico/Histórico,Jackson de Souza
Henrique,ZAG,JOGADOR BASE,Henrique Adriano Buss
Danilo,ZAG,JOGADOR BASE,Danilo Larangeira
Maurício Ramos,ZAG,JOGADOR BASE,Maurício Donizete Ramos Júnior
Leandro Amaro,ZAG,JOGADOR BASE,Leandro Amaro dos Santos Ferreira
Tiago Alves,ZAG,JOGADOR BASE,Tiago dos Santos Alves
