Nome;Posicao;Categoria;Sinonimos
Lev Yashin;GOL;LENDA;Aranha Negra
Gordon Banks;GOL;LENDA;
Dino Zoff;GOL;LENDA;
Peter Schmeichel;GOL;LENDA;
Sepp Maier;GOL;LENDA;A Gata
Gianluigi Buffon;GOL;LENDA;Gigi
René Higuita;GOL;FOLCLORICO/HISTORICO;El Loco
Jorge Campos;GOL;FOLCLORICO/HISTORICO;
Rinat Dasayev;GOL;FOLCLORICO/HISTORICO;
Ubaldo Fillol;GOL;FOLCLORICO/HISTORICO;El Pato
Antonio Carbajal;GOL;FOLCLORICO/HISTORICO;La Tota
Pat Jennings;GOL;FOLCLORICO/HISTORICO;
Enke Robert;GOL;FOLCLORICO/HISTORICO;
Andoni Zubizarreta;GOL;FOLCLORICO/HISTORICO;Zubi
Claudio Bravo;GOL;FOLCLORICO/HISTORICO;
Iker Casillas;GOL;FOLCLORICO/HISTORICO;San Iker
Oliver Kahn;GOL;FOLCLORICO/HISTORICO;O Titã, O Gorila
Taffarel;GOL;JOGADOR BASE;Cláudio André Mergen Taffarel
Marcos;GOL;JOGADOR BASE;Marcos Roberto Silveira Reis
Júlio César;GOL;JOGADOR BASE;Júlio César Soares de Espíndola
Alisson Becker;GOL;JOGADOR BASE;
Dida;GOL;JOGADOR BASE;Nelson de Jesus Silva
Vítor Baia;GOL;JOGADOR BASE;
José Luis Chilavert;GOL;JOGADOR BASE;
Edwin van der Sar;GOL;JOGADOR BASE;
Brad Friedel;GOL;JOGADOR BASE;
Tim Howard;GOL;JOGADOR BASE;
Manuel Neuer;GOL;JOGADOR BASE;
Keylor Navas;GOL;JOGADOR BASE;
Hugo Lloris;GOL;JOGADOR BASE;
Pepe Reina;GOL;JOGADOR BASE;
David De Gea;GOL;JOGADOR BASE;
Thibaut Courtois;GOL;JOGADOR BASE;
Marc-André ter Stegen;GOL;JOGADOR BASE;
Sébastien Frey;GOL;JOGADOR BASE;
Rüştü Reçber;GOL;JOGADOR BASE;
Samir Handanovic;GOL;JOGADOR BASE;
Gianluigi Donnarumma;GOL;JOGADOR BASE;
Jan Oblak;GOL;JOGADOR BASE;
Wojciech Szczęsny;GOL;JOGADOR BASE;
Emiliano Martínez;GOL;JOGADOR BASE;Dibu
Mike Maignan;GOL;JOGADOR BASE;
Gyula Grosics;GOL;JOGADOR BASE;
Bert Trautmann;GOL;JOGADOR BASE;
Ladislao Mazurkiewicz;GOL;JOGADOR BASE;
Walter Zenga;GOL;JOGADOR BASE;
Thomas N'Kono;GOL;JOGADOR BASE;
Ricardo Zamora;GOL;JOGADOR BASE;El Divino
Harald Schumacher;GOL;JOGADOR BASE;Toni
Bruce Grobbelaar;GOL;JOGADOR BASE;
Fabian Barthez;GOL;JOGADOR BASE;
Francesco Toldo;GOL;JOGADOR BASE;
Cafu;GOL;JOGADOR BASE;
Jens Lehmann;GOL;JOGADOR BASE;
Ricardo;GOL;JOGADOR BASE;Ricardo Alexandre Martins Soares Pereira
Dirk Enke;GOL;JOGADOR BASE;
Santiago Cañizares;GOL;JOGADOR BASE;
Peter Shilton;GOL;JOGADOR BASE;
Dásaev Rinat;GOL;JOGADOR BASE;
Neville Southall;GOL;JOGADOR BASE;
Carlos Roa;GOL;JOGADOR BASE;
Pascual Zubeldía;GOL;JOGADOR BASE;
